EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE1,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,DEATHS_DIRECT1,DEATHS_INDIRECT,DEATHS_DIRECT,INJURIES_INDIRECT,INJURIES_DIRECT1,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM1,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE
698113,LAWRENCE CO.,BLACK ROCK,6-Mar,0,Flood, ,0,0,0,0,0,0,5000000,0,5000000,AR,CST-6,116155,C,75,MEG,Emergency Manager, , ,3,N,2,NNE,36.1374,-91.0983,36.1085,-91.0602,2013
698335,BEE CO.,NORMANNA,7-Mar,1810,Thunderstorm Wind,78,0,0,0,0,0,0,5000000,1000000,6000000,TX,CST-6,116180,C,25,CRP,NWS Storm Survey, , ,2,WNW,3,SSE,28.54,-97.81,28.1304,-97.5702,2013
695419,ADAMS CO.,HOLSTEIN,8-Mar,1732,Hail,2.5,0,0,0,0,0,0,5000000,250000,5250000,NE,CST-6,115559,C,1,GID,Public, , ,2,NW,3,N,40.4905,-98.6769,40.5134,-98.65,2013
656893,POINTE COUPEE PAR.,NEW ROADS ARPT,9-Mar,500,Flood, ,0,0,0,0,0,0,4850000,0,4850000,LA,CST-6,109514,C,77,LIX,Emergency Manager, , ,1,W,2,N,30.731,-91.49,30.611,-91.523,2013
622757,SPOKANE CO.,SPOKANE,10-Mar,2351,Thunderstorm Wind,52,0,0,0,0,0,0,4800000,0,4800000,WA,PST-8,104107,C,63,OTX,Public, , ,0,E,0,E,47.67,-117.41,47.67,-117.41,2013
698413,RIPLEY CO.,BENNETT,11-Mar,0,Flood, ,0,0,0,0,0,0,4700000,0,4700000,MO,CST-6,116192,C,181,PAH,River/Stream Gage, , ,3,NNE,8,ENE,36.7676,-90.9695,36.7731,-90.8748,2013
657314,WASHINGTON PAR.,MT HERMON,12-Mar,1230,Flash Flood, ,0,0,0,0,0,0,4600000,0,4600000,LA,CST-6,109514,C,117,LIX,Emergency Manager, , ,5,NW,5,WSW,31,-90.347,30.912,-90.347,2013
588073,HILLSBOROUGH CO.,OLD PORT TAMPA PORTS SITE,13-Mar,1322,Flood, ,0,0,0,0,0,0,4500000,0,4500000,FL,EST-5,97225,C,57,TBW,Emergency Manager, , ,1,S,3,SE,27.8501,-82.5506,27.8191,-82.4764,2013
611000,ALEXANDER CO.,EAST CAPE GIRARDEAU,14-Mar,0,Flood, ,0,0,0,0,0,0,4500000,0,4500000,IL,CST-6,102205,C,3,PAH,River/Stream Gage, , ,2,NW,3,W,37.3042,-89.5042,37.1243,-89.415,2013
621868,ESSEX CO.,HOWERTONS,15-Mar,1837,Tornado, ,0,0,0,0,25,25,4500000,750000,5250000,VA,EST-5,103902,C,57,AKQ,NWS Storm Survey,10.7,500,4,W,2,N,37.8285,-76.9681,37.9625,-76.8699,2013
655881,COASTAL TAYLOR (ZONE), ,16-Mar,1900,Storm Surge/Tide, ,0,0,0,0,0,0,4500000,0,4500000,FL,EST-5,108553,Z,128,TAE,Emergency Manager, , , , , , , , , , ,2013
682307,MENDOCINO CO.,CUMMINGS,17-Mar,1430,Heavy Rain, ,0,0,0,0,0,0,4500000,0,4500000,CA,PST-8,113092,C,45,EKA,Department of Highways, , ,0,NW,0,NW,39.8323,-123.6326,39.8323,-123.6326,2013
674427,FAYETTE CO.,DONERAIL,18-Mar,400,Thunderstorm Wind,55,0,0,0,0,0,0,4500000,0,4500000,KY,EST-5,112887,C,67,LMK,NWS Storm Survey, , ,1,SSE,1,SSE,38.13,-84.52,38.13,-84.52,2013
709227,BLAINE CO.,SUN VLY,19-Mar,0,Flood, ,0,0,0,0,0,0,4500000,0,4500000,ID,MST-7,117984,C,13,PIH,River/Stream Gage, , ,10,NW,20,W,43.8023,-114.4917,43.47,-114.6689,2013
626836,NUECES CO.,(NGP)NAS CORPUS CHRI,20-Mar,2348,Thunderstorm Wind,68,0,0,0,0,0,0,4300000,0,4300000,TX,CST-6,104384,C,355,CRP,ASOS, , ,1,WSW,0,SSE,27.69,-97.29,27.6965,-97.2678,2013
677480,BUTTE CO.,PULGA,21-Mar,2100,Debris Flow, ,0,0,0,0,0,0,4260000,0,4260000,CA,PST-8,111564,C,7,STO,Department of Highways, , ,3,SSW,2,S,39.7636,-121.4677,39.7659,-121.4554,2013
657040,COASTAL MANATEE (ZONE), ,22-Mar,2000,Storm Surge/Tide, ,0,0,0,0,0,0,4250000,0,4250000,FL,EST-5,108576,Z,155,TBW,Emergency Manager, , , , , , , , , , ,2013
652973,BUFFALO CO.,MONDOVI,23-Mar,644,Flash Flood, ,0,0,0,0,0,0,4180000,0,4180000,WI,CST-6,109004,C,11,ARX,Law Enforcement, , ,4,WNW,4,SSE,44.5956,-91.753,44.3759,-91.9618,2013
